学生ID,状态,是否为正确状态
1004022,"[-1, 2, 0, -1]",False
1004022,"[1, 2, 0, 3]",True
1006358,"[-1, -1, -1, 3]",False
1006358,"[-1, -1, -1, 3]",False
1006358,"[-1, -1, 0, 3]",False
1006358,"[-1, -1, 0, 3]",False
1006358,"[-1, -1, 0, 3]",False
1006358,"[-1, -1, 0, 3]",False
1006358,"[-1, -1, -1, 3]",False
1006358,"[-1, 2, -1, -1]",False
1006358,"[1, 2, 0, 3]",True
1008291,"[-1, -1, -1, -1]",False
1008291,"[1, 2, 0, 3]",True
1025345,"[-1, -1, -1, 3]",False
1025345,"[1, 2, 0, 3]",True
1026686,"[1, 2, -1, -1]",False
1026686,"[1, 2, -1, -1]",False
1026686,"[1, 2, -1, -1]",False
1026686,"[1, 2, 0, 3]",True
1031870,"[1, -1, -1, 3]",False
1031870,"[1, 2, 0, 3]",True
1036920,"[1, -1, -1, 3]",False
1036920,"[1, 2, 0, 3]",True
1042399,"[-1, -1, -1, -1]",False
1042399,"[1, 2, 0, 3]",True
1047634,"[-1, -1, -1, 3]",False
1047634,"[1, -1, -1, 3]",False
1047634,"[1, 2, 0, 3]",True
1050079,"[1, 2, -1, -1]",False
1050079,"[1, 2, -1, -1]",False
1050079,"[-1, -1, 0, 3]",False
1058937,"[-1, -1, -1, -1]",False
1058937,"[-1, -1, -1, -1]",False
1058937,"[1, -1, -1, -1]",False
1058937,"[1, -1, -1, 3]",False
1058937,"[1, 2, 0, 3]",True
1090060,"[1, 2, -1, -1]",False
1090060,"[1, 2, 0, 3]",True
1091030,"[1, -1, 0, -1]",False
1091030,"[1, -1, 0, -1]",False
1091030,"[1, -1, 0, -1]",False
1091030,"[1, 2, -1, -1]",False
1091030,"[1, 2, -1, -1]",False
1091030,"[1, 2, -1, -1]",False
1091030,"[1, 2, 0, 3]",True
1099133,"[1, -1, -1, -1]",False
1099133,"[1, 2, 0, 3]",True
1102341,"[1, -1, -1, 3]",False
1102341,"[1, 2, 0, 3]",True
1102531,"[-1, -1, -1, 3]",False
1102531,"[-1, 2, -1, 3]",False
1102531,"[1, 2, 0, 3]",True
1105234,"[-1, -1, 0, 3]",False
1105234,"[1, 2, 0, 3]",True
1105579,"[1, 2, -1, -1]",False
1105579,"[1, 2, -1, -1]",False
1105579,"[1, 2, 0, 3]",True
1110935,"[-1, -1, -1, 3]",False
1110935,"[-1, -1, -1, 3]",False
1110935,"[1, 2, 0, 3]",True
1118878,"[1, -1, -1, 3]",False
1118878,"[1, 2, 0, 3]",True
1122254,"[1, -1, -1, -1]",False
1122254,"[1, 2, 0, 3]",True
1127930,"[1, -1, -1, 3]",False
1127930,"[1, 2, 0, 3]",True
1131555,"[-1, -1, -1, -1]",False
1131555,"[1, 2, 0, 3]",True
1132430,"[1, 2, -1, -1]",False
1132430,"[1, 2, 0, 3]",True
1134794,"[-1, -1, -1, 3]",False
1134794,"[-1, 2, -1, 3]",False
1134794,"[1, 2, 0, 3]",True
1137179,"[1, -1, -1, -1]",False
1137179,"[1, 2, -1, -1]",False
1137179,"[1, 2, 0, 3]",True
1140281,"[1, 2, -1, -1]",False
1140281,"[1, 2, -1, -1]",False
1140281,"[1, -1, -1, -1]",False
1140281,"[1, 2, -1, -1]",False
1140281,"[1, 2, -1, -1]",False
1140281,"[1, -1, -1, -1]",False
1140281,"[1, -1, 0, -1]",False
1140281,"[1, -1, 0, -1]",False
1140281,"[1, 2, 0, 3]",True
1142297,"[1, -1, -1, 3]",False
1142297,"[1, 2, 0, 3]",True
1142995,"[1, -1, -1, 3]",False
1142995,"[1, 2, 0, 3]",True
1149917,"[1, -1, -1, 3]",False
1149917,"[1, 2, 0, 3]",True
1149986,"[1, -1, -1, 3]",False
1149986,"[1, -1, -1, 3]",False
1149986,"[1, 2, 0, 3]",True
1152061,"[-1, -1, -1, -1]",False
1152061,"[-1, 2, -1, 3]",False
1152061,"[1, 2, 0, 3]",True
1152361,"[1, -1, -1, 3]",False
1152361,"[1, 2, 0, 3]",True
